Subject	Gender	Hand Posture	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Image
101	female	Down	1	950	k	k	1	485	Ring Finger
101	female	Down	2	800	h	h	1	357	Index
101	female	Down	3	500	k	k	1	447	Ring Finger
101	female	Down	4	1100	l	l	1	461	Little Finger
101	female	Down	5	950	b	b	1	375	Thumb
101	female	Down	6	500	h	h	1	351	Index
101	female	Down	7	650	b	b	1	391	Thumb
101	female	Down	8	1100	h	h	1	370	Index
101	female	Down	9	1100	j	k	0	391	Middle Finger
101	female	Down	10	500	b	b	1	434	Thumb
101	female	Down	11	800	l	l	1	434	Little Finger
101	female	Down	12	650	k	k	1	602	Ring Finger
101	female	Down	13	950	l	l	1	521	Little Finger
101	female	Down	14	1100	b	b	1	390	Thumb
101	female	Down	15	650	k	k	1	558	Ring Finger
101	female	Down	16	950	h	b	0	356	Index
101	female	Down	17	650	j	j	1	484	Middle Finger
101	female	Down	18	650	l	l	1	494	Little Finger
101	female	Down	19	650	j	j	1	404	Middle Finger
101	female	Down	20	800	h	h	1	300	Index
101	female	Down	21	650	l	l	1	409	Little Finger
101	female	Down	22	500	j	j	1	494	Middle Finger
101	female	Down	23	950	h	h	1	377	Index
101	female	Down	24	1100	l	l	1	401	Little Finger
101	female	Down	25	800	j	j	1	545	Middle Finger
101	female	Down	26	1100	b	b	1	409	Thumb
101	female	Down	27	800	k	k	1	489	Ring Finger
101	female	Down	28	800	j	j	1	505	Middle Finger
101	female	Down	29	1100	h	h	1	377	Index
101	female	Down	30	500	j	j	1	433	Middle Finger
101	female	Down	31	950	k	k	1	510	Ring Finger
101	female	Down	32	500	h	h	1	409	Index
101	female	Down	33	500	l	l	1	434	Little Finger
101	female	Down	34	1100	k	k	1	446	Ring Finger
101	female	Down	35	650	b	b	1	457	Thumb
101	female	Down	36	950	j	j	1	404	Middle Finger
101	female	Down	37	500	b	b	1	441	Thumb
101	female	Down	38	1100	k	k	1	534	Ring Finger
101	female	Down	39	1100	j	j	1	470	Middle Finger
101	female	Down	40	950	l	l	1	428	Little Finger
101	female	Down	41	950	b	b	1	409	Thumb
101	female	Down	42	500	k	k	1	550	Ring Finger
101	female	Down	43	800	l	l	1	440	Little Finger
101	female	Down	44	650	h	h	1	401	Index
101	female	Down	45	800	b	b	1	420	Thumb
101	female	Down	46	500	l	l	1	404	Little Finger
101	female	Down	47	650	h	h	1	334	Index
101	female	Down	48	950	j	j	1	561	Middle Finger
101	female	Down	49	800	k	k	1	444	Ring Finger
101	female	Down	50	800	b	b	1	420	Thumb
101	female	Up	1	800	k	k	1	570	Ring Finger
101	female	Up	2	650	h	h	1	462	Index
101	female	Up	3	500	l	l	1	510	Little Finger
101	female	Up	4	800	b	b	1	430	Thumb
101	female	Up	5	800	l	l	1	430	Little Finger
101	female	Up	6	500	k	k	1	529	Ring Finger
101	female	Up	7	950	l	l	1	417	Little Finger
101	female	Up	8	1100	j	j	1	513	Middle Finger
101	female	Up	9	1100	k	k	1	607	Ring Finger
101	female	Up	10	500	b	b	1	486	Thumb
101	female	Up	11	500	l	l	1	452	Little Finger
101	female	Up	12	650	h	h	1	470	Index
101	female	Up	13	800	l	l	1	419	Little Finger
101	female	Up	14	500	k	k	1	568	Ring Finger
101	female	Up	15	950	b	b	1	433	Thumb
101	female	Up	16	950	l	l	1	366	Little Finger
101	female	Up	17	1100	j	j	1	532	Middle Finger
101	female	Up	18	500	b	b	1	449	Thumb
101	female	Up	19	500	h	h	1	534	Index
101	female	Up	20	950	k	k	1	715	Ring Finger
101	female	Up	21	500	j	j	1	481	Middle Finger
101	female	Up	22	1100	h	h	1	502	Index
101	female	Up	23	800	j	j	1	521	Middle Finger
101	female	Up	24	1100	b	b	1	478	Thumb
101	female	Up	25	800	j	j	1	508	Middle Finger
101	female	Up	26	1100	l	l	1	470	Little Finger
101	female	Up	27	950	h	h	1	588	Index
101	female	Up	28	500	j	j	1	542	Middle Finger
101	female	Up	29	650	l	l	1	644	Little Finger
101	female	Up	30	800	h	h	1	411	Index
101	female	Up	31	650	j	j	1	517	Middle Finger
101	female	Up	32	650	l	l	1	373	Little Finger
101	female	Up	33	650	j	j	1	539	Middle Finger
101	female	Up	34	950	h	h	1	421	Index
101	female	Up	35	650	k	k	1	773	Ring Finger
101	female	Up	36	1100	b	b	1	448	Thumb
101	female	Up	37	650	k	k	1	583	Ring Finger
101	female	Up	38	1100	h	h	1	480	Index
101	female	Up	39	950	b	b	1	544	Thumb
