Subject	Gender	Hand Posture	Trial	Interval 	CorrectResponse	Given Response	Accuacy	RT	Image
201	female	Down	1	950	k	k	1	791	Ring Finger
201	female	Down	2	800	h	h	1	575	Index
201	female	Down	3	500	k	k	1	415	Ring Finger
201	female	Down	4	1100	l	l	1	335	Little Finger
201	female	Down	5	950	b	b	1	322	Thumb
201	female	Down	6	500	h	h	1	415	Index
201	female	Down	7	650	b	b	1	444	Thumb
201	female	Down	8	1100	h	h	1	386	Index
201	female	Down	9	1100	j	j	1	338	Middle Finger
201	female	Down	10	500	b	b	1	562	Thumb
201	female	Down	11	800	l	l	1	354	Little Finger
201	female	Down	12	650	k	k	1	482	Ring Finger
201	female	Down	13	950	l	l	1	370	Little Finger
201	female	Down	14	1100	b	b	1	399	Thumb
201	female	Down	15	650	k	k	1	487	Ring Finger
201	female	Down	16	950	h	h	1	615	Index
201	female	Down	17	650	j	j	1	324	Middle Finger
201	female	Down	18	650	l	l	1	255	Little Finger
201	female	Down	19	650	j	j	1	380	Middle Finger
201	female	Down	20	800	h	h	1	434	Index
201	female	Down	21	650	l	l	1	306	Little Finger
201	female	Down	22	500	j	j	1	474	Middle Finger
201	female	Down	23	950	h	h	1	327	Index
201	female	Down	24	1100	l	l	1	396	Little Finger
201	female	Down	25	800	j	j	1	482	Middle Finger
201	female	Down	26	1100	b	b	1	399	Thumb
201	female	Down	27	800	k	k	1	501	Ring Finger
201	female	Down	28	800	j	j	1	489	Middle Finger
201	female	Down	29	1100	h	h	1	286	Index
201	female	Down	30	500	j	j	1	492	Middle Finger
201	female	Down	31	950	k	k	1	276	Ring Finger
201	female	Down	32	500	h	h	1	446	Index
201	female	Down	33	500	l	l	1	332	Little Finger
201	female	Down	34	1100	k	k	1	409	Ring Finger
201	female	Down	35	650	b	b	1	436	Thumb
201	female	Down	36	950	j	j	1	649	Middle Finger
201	female	Down	37	500	b	b	1	430	Thumb
201	female	Down	38	1100	k	k	1	433	Ring Finger
201	female	Down	39	1100	j	j	1	476	Middle Finger
201	female	Down	40	950	l	l	1	393	Little Finger
201	female	Down	41	950	b	b	1	462	Thumb
201	female	Down	42	500	k	k	1	646	Ring Finger
201	female	Down	43	800	l	l	1	449	Little Finger
201	female	Down	44	650	h	h	1	596	Index
201	female	Down	45	800	b	b	1	449	Thumb
201	female	Down	46	500	l	l	1	390	Little Finger
201	female	Down	47	650	h	h	1	454	Index
201	female	Down	48	950	j	j	1	329	Middle Finger
201	female	Down	49	800	k	k	1	313	Ring Finger
201	female	Down	50	800	b	b	1	409	Thumb
201	female	Up	1	800	k	k	1	538	Ring Finger
201	female	Up	2	650	h	h	1	423	Index
201	female	Up	3	500	l	l	1	391	Little Finger
201	female	Up	4	800	b	b	1	245	Thumb
201	female	Up	5	800	l	l	1	509	Little Finger
201	female	Up	6	500	k	j	0	447	Ring Finger
201	female	Up	7	950	l	l	1	439	Little Finger
201	female	Up	8	1100	j	j	1	426	Middle Finger
201	female	Up	9	1100	k	k	1	506	Ring Finger
201	female	Up	10	500	b	b	1	586	Thumb
201	female	Up	11	500	l	l	1	434	Little Finger
201	female	Up	12	650	h	h	1	346	Index
201	female	Up	13	800	l	l	1	517	Little Finger
201	female	Up	14	500	k	k	1	671	Ring Finger
201	female	Up	15	950	b	b	1	461	Thumb
201	female	Up	16	950	l	l	1	423	Little Finger
201	female	Up	17	1100	j	j	1	583	Middle Finger
201	female	Up	18	500	b	b	1	439	Thumb
201	female	Up	19	500	h	h	1	586	Index
201	female	Up	20	950	k	k	1	501	Ring Finger
201	female	Up	21	500	j	j	1	1053	Middle Finger
201	female	Up	22	1100	h	h	1	362	Index
201	female	Up	23	800	j	j	1	637	Middle Finger
201	female	Up	24	1100	b	b	1	440	Thumb
201	female	Up	25	800	j	j	1	461	Middle Finger
201	female	Up	26	1100	l	l	1	445	Little Finger
201	female	Up	27	950	h	h	1	580	Index
201	female	Up	28	500	j	j	1	764	Middle Finger
201	female	Up	29	650	l	l	1	359	Little Finger
201	female	Up	30	800	h	h	1	628	Index
201	female	Up	31	650	j	j	1	740	Middle Finger
201	female	Up	32	650	l	l	1	465	Little Finger
201	female	Up	33	650	j	j	1	575	Middle Finger
201	female	Up	34	950	h	h	1	545	Index
201	female	Up	35	650	k	k	1	711	Ring Finger
201	female	Up	36	1100	b	b	1	569	Thumb
201	female	Up	37	650	k	k	1	388	Ring Finger
201	female	Up	38	1100	h	h	1	327	Index
201	female	Up	39	950	b	b	1	439	Thumb
201	female	Up	40	1100	l	l	1	433	Little Finger
201	female	Up	41	800	h	h	1	967	Index
201	female	Up	42	950	k	k	1	583	Ring Finger
201	female	Up	43	950	j	j	1	1145	Middle Finger
201	female	Up	44	650	b	b	1	775	Thumb
201	female	Up	45	1100	k	k	1	607	Ring Finger
201	female	Up	46	800	b	b	1	391	Thumb
201	female	Up	47	800	k	k	1	532	Ring Finger
201	female	Up	48	500	h	h	1	513	Index
201	female	Up	49	950	j	j	1	319	Middle Finger
201	female	Up	50	650	b	b	1	415	Thumb
203	female	Down	1	950	k	k	1	498	Ring Finger
203	female	Down	2	800	h	h	1	527	Index
203	female	Down	3	500	k	k	1	372	Ring Finger
203	female	Down	4	1100	l	l	1	354	Little Finger
203	female	Down	5	950	b	b	1	447	Thumb
203	female	Down	6	500	h	h	1	636	Index
203	female	Down	7	650	b	b	1	628	Thumb
203	female	Down	8	1100	h	h	1	519	Index
203	female	Down	9	1100	j	j	1	482	Middle Finger
203	female	Down	10	500	b	b	1	495	Thumb
203	female	Down	11	800	l	l	1	378	Little Finger
203	female	Down	12	650	k	j	0	591	Ring Finger
203	female	Down	13	950	l	l	1	453	Little Finger
203	female	Down	14	1100	b	b	1	586	Thumb
203	female	Down	15	650	k	k	1	367	Ring Finger
203	female	Down	16	950	h	h	1	407	Index
203	female	Down	17	650	j	j	1	490	Middle Finger
203	female	Down	18	650	l	l	1	429	Little Finger
203	female	Down	19	650	j	h	0	501	Middle Finger
203	female	Down	20	800	h	h	1	490	Index
203	female	Down	21	650	l	l	1	461	Little Finger
203	female	Down	22	500	j	j	1	485	Middle Finger
203	female	Down	23	950	h	h	1	405	Index
203	female	Down	24	1100	l	l	1	426	Little Finger
203	female	Down	25	800	j	j	1	373	Middle Finger
203	female	Down	26	1100	b	b	1	434	Thumb
203	female	Down	27	800	k	k	1	434	Ring Finger
203	female	Down	28	800	j	j	1	586	Middle Finger
203	female	Down	29	1100	h	h	1	394	Index
203	female	Down	30	500	j	j	1	621	Middle Finger
203	female	Down	31	950	k	k	1	615	Ring Finger
203	female	Down	32	500	h	h	1	415	Index
203	female	Down	33	500	l	l	1	415	Little Finger
203	female	Down	34	1100	k	k	1	431	Ring Finger
203	female	Down	35	650	b	b	1	831	Thumb
203	female	Down	36	950	j	j	1	597	Middle Finger
203	female	Down	37	500	b	b	1	719	Thumb
203	female	Down	38	1100	k	k	1	682	Ring Finger
203	female	Down	39	1100	j	j	1	534	Middle Finger
203	female	Down	40	950	l	l	1	553	Little Finger
203	female	Down	41	950	b	b	1	590	Thumb
203	female	Down	42	500	k	k	1	689	Ring Finger
203	female	Down	43	800	l	l	1	505	Little Finger
203	female	Down	44	650	h	h	1	758	Index
203	female	Down	45	800	b	b	1	636	Thumb
203	female	Down	46	500	l	l	1	526	Little Finger
203	female	Down	47	650	h	h	1	617	Index
203	female	Down	48	950	j	j	1	556	Middle Finger
203	female	Down	49	800	k	k	1	788	Ring Finger
203	female	Down	50	800	b	b	1	892	Thumb
203	female	Up	1	950	k	k	1	684	Ring Finger
203	female	Up	2	800	h	h	1	342	Index
203	female	Up	3	500	k	k	1	421	Ring Finger
203	female	Up	4	1100	l	l	1	457	Little Finger
203	female	Up	5	950	b	b	1	477	Thumb
203	female	Up	6	500	h	h	1	391	Index
203	female	Up	7	650	b	b	1	471	Thumb
203	female	Up	8	1100	h	h	1	546	Index
203	female	Up	9	1100	j	j	1	594	Middle Finger
203	female	Up	10	500	b	b	1	525	Thumb
203	female	Up	11	800	l	l	1	425	Little Finger
203	female	Up	12	650	k	k	1	642	Ring Finger
203	female	Up	13	950	l	l	1	610	Little Finger
203	female	Up	14	1100	b	b	1	455	Thumb
203	female	Up	15	650	k	k	1	645	Ring Finger
203	female	Up	16	950	h	h	1	397	Index
203	female	Up	18	650	l	l	1	429	Little Finger
203	female	Up	19	650	j	j	1	493	Middle Finger
203	female	Up	21	650	l	l	1	535	Little Finger
203	female	Up	22	500	j	j	1	839	Middle Finger
203	female	Up	23	950	h	h	1	357	Index
203	female	Up	24	1100	l	l	1	416	Little Finger
203	female	Up	25	800	j	j	1	477	Middle Finger
203	female	Up	27	800	k	k	1	560	Ring Finger
203	female	Up	28	800	j	j	1	509	Middle Finger
203	female	Up	29	1100	h	h	1	360	Index
203	female	Up	30	500	j	j	1	618	Middle Finger
203	female	Up	31	950	k	k	1	397	Ring Finger
203	female	Up	32	500	h	h	1	456	Index
203	female	Up	33	500	l	l	1	600	Little Finger
203	female	Up	34	1100	k	k	1	498	Ring Finger
203	female	Up	35	650	b	b	1	496	Thumb
203	female	Up	36	950	j	j	1	514	Middle Finger
203	female	Up	37	500	b	b	1	493	Thumb
203	female	Up	38	1100	k	k	1	506	Ring Finger
203	female	Up	39	1100	j	j	1	546	Middle Finger
203	female	Up	40	950	l	l	1	461	Little Finger
203	female	Up	41	950	b	b	1	528	Thumb
203	female	Up	42	500	k	k	1	541	Ring Finger
203	female	Up	43	800	l	l	1	416	Little Finger
203	female	Up	44	650	h	h	1	525	Index
203	female	Up	45	800	b	b	1	445	Thumb
203	female	Up	46	500	l	l	1	434	Little Finger
203	female	Up	47	650	h	h	1	554	Index
203	female	Up	48	950	j	j	1	608	Middle Finger
203	female	Up	49	800	k	k	1	672	Ring Finger
203	female	Up	50	800	b	b	1	1069	Thumb
205	female	Down	1	950	k	k	1	522	Ring Finger
205	female	Down	2	800	h	h	1	410	Index
205	female	Down	3	500	k	k	1	495	Ring Finger
205	female	Down	4	1100	l	l	1	447	Little Finger
205	female	Down	5	950	b	b	1	431	Thumb
205	female	Down	6	500	h	h	1	450	Index
205	female	Down	7	650	b	b	1	453	Thumb
205	female	Down	8	1100	h	h	1	474	Index
205	female	Down	9	1100	j	j	1	453	Middle Finger
205	female	Down	10	500	b	b	1	386	Thumb
205	female	Down	11	800	l	l	1	413	Little Finger
205	female	Down	12	650	k	k	1	519	Ring Finger
205	female	Down	13	950	l	l	1	413	Little Finger
205	female	Down	14	1100	b	b	1	370	Thumb
205	female	Down	15	650	k	k	1	429	Ring Finger
205	female	Down	16	950	h	h	1	450	Index
205	female	Down	17	650	j	j	1	461	Middle Finger
205	female	Down	18	650	l	l	1	530	Little Finger
205	female	Down	19	650	j	j	1	461	Middle Finger
205	female	Down	20	800	h	h	1	402	Index
205	female	Down	21	650	l	l	1	437	Little Finger
205	female	Down	22	500	j	j	1	375	Middle Finger
205	female	Down	23	950	h	h	1	434	Index
205	female	Down	24	1100	l	l	1	501	Little Finger
205	female	Down	25	800	j	j	1	498	Middle Finger
205	female	Down	26	1100	b	b	1	362	Thumb
205	female	Down	27	800	k	k	1	533	Ring Finger
205	female	Down	28	800	j	j	1	349	Middle Finger
205	female	Down	29	1100	h	h	1	279	Index
205	female	Down	30	500	j	j	1	522	Middle Finger
205	female	Down	31	950	k	k	1	538	Ring Finger
205	female	Down	32	500	h	h	1	418	Index
205	female	Down	33	500	l	l	1	473	Little Finger
205	female	Down	34	1100	k	k	1	484	Ring Finger
205	female	Down	35	650	b	b	1	455	Thumb
205	female	Down	36	950	j	j	1	513	Middle Finger
205	female	Down	37	500	b	b	1	484	Thumb
205	female	Down	38	1100	k	j	0	401	Ring Finger
205	female	Down	39	1100	j	j	1	439	Middle Finger
205	female	Down	40	950	l	l	1	540	Little Finger
205	female	Down	41	950	b	b	1	423	Thumb
205	female	Down	42	500	k	k	1	495	Ring Finger
205	female	Down	43	800	l	l	1	452	Little Finger
205	female	Down	44	650	h	h	1	391	Index
205	female	Down	45	800	b	b	1	428	Thumb
205	female	Down	46	500	l	l	1	367	Little Finger
205	female	Down	47	650	h	h	1	577	Index
205	female	Down	48	950	j	j	1	412	Middle Finger
205	female	Down	49	800	k	j	0	380	Ring Finger
205	female	Down	50	800	b	b	1	471	Thumb
205	female	Up	1	800	k	k	1	481	Ring Finger
205	female	Up	2	650	h	h	1	524	Index
205	female	Up	3	500	l	l	1	441	Little Finger
205	female	Up	4	800	b	b	1	393	Thumb
205	female	Up	5	800	l	l	1	401	Little Finger
205	female	Up	6	500	k	k	1	518	Ring Finger
205	female	Up	7	950	l	l	1	364	Little Finger
205	female	Up	8	1100	j	j	1	545	Middle Finger
205	female	Up	9	1100	k	j	0	385	Ring Finger
205	female	Up	10	500	b	b	1	393	Thumb
205	female	Up	11	500	l	l	1	564	Little Finger
205	female	Up	12	650	h	h	1	518	Index
205	female	Up	13	800	l	l	1	460	Little Finger
205	female	Up	14	500	k	k	1	348	Ring Finger
205	female	Up	15	950	b	b	1	513	Thumb
205	female	Up	16	950	l	l	1	470	Little Finger
205	female	Up	17	1100	j	j	1	665	Middle Finger
205	female	Up	18	500	b	b	1	521	Thumb
205	female	Up	19	500	h	h	1	502	Index
205	female	Up	20	950	k	k	1	369	Ring Finger
205	female	Up	21	500	j	j	1	446	Middle Finger
205	female	Up	22	1100	h	h	1	308	Index
