Subject	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5	C_1	C_2	C_3	C_4	C_5	D_1	D_2	D_3	D_4	D_5	
101	325,10	597,80	677,35	571,01	449,90	469,20	558,41	504,97	707,60	708,88	510,60	604,50	694,64	671,63	557,60	369,43	529,51	854,81	686,00	547,60	
102	637,55	600,73	661,77	592,76	497,20	584,50	809,33	633,24	803,86	578,14	565,60	620,73	729,96	771,84	437,10	701,88	655,26	799,63	775,10	660,56	
103	392,01	556,89	462,53	518,60	419,29	448,20	544,49	454,53	512,90	495,90	480,99	499,30	630,50	554,38	489,80	415,11	527,20	624,80	500,44	474,90	
104	414,50	573,56	560,11	597,10	477,58	463,08	849,64	513,00	674,83	480,80	505,18	616,91	587,17	684,91	488,60	364,40	538,00	726,42	650,13	509,94	
105	280,04	409,48	512,49	337,10	736,25	380,00	798,79	372,79	844,53	727,44	399,00	510,18	482,16	550,79	452,04	211,57	599,75	624,06	695,48	620,40	
106	392,10	512,30	462,00	510,99	459,70	487,40	432,29	490,38	672,48	605,50	454,70	662,98	635,46	455,99	700,40	420,90	489,34	694,55	531,33	439,90	
107	368,26	462,60	521,94	468,54	427,73	468,00	334,95	456,50	494,20	346,26	339,83	418,30	541,19	283,45	193,93	419,10	472,38	557,08	500,60	519,70	
108	230,16	419,90	471,63	462,03	425,40	405,92	493,89	433,19	637,41	471,54	184,76	626,74	376,13	384,00	457,37	431,90	447,89	396,08	421,90	464,20	
109	317,75	474,19	499,25	494,32	540,96	402,10	493,28	454,40	447,40	460,85	397,22	463,60	721,63	552,38	434,25	537,51	558,42	605,80	606,89	532,70	
110	270,03	412,00	420,91	396,20	420,60	351,02	303,39	372,58	373,02	364,78	324,73	364,18	542,33	394,33	345,08	452,53	362,79	515,80	502,67	432,40	
112	319,67	533,61	679,92	502,78	515,60	440,53	501,55	608,56	651,18	576,70	305,33	525,18	450,09	472,15	487,00	556,67	469,51	571,95	645,61	618,21	
113	451,19	755,57	671,88	615,48	604,70	580,70	864,48	676,33	840,89	694,07	295,93	745,44	726,61	539,43	525,70	599,00	585,98	796,17	873,70	777,26	
114	547,56	652,70	471,01	541,31	619,00	452,28	515,09	527,01	817,63	716,79	290,86	609,97	624,39	518,34	406,82	588,11	530,30	602,39	705,93	597,98	
115	366,00	476,78	512,11	431,71	464,22	477,00	358,03	553,44	621,70	491,28	332,83	554,00	511,74	339,75	420,42	447,74	473,99	512,90	496,89	553,25	
116	570,20	651,00	723,44	556,37	603,83	665,98	1023,14	543,28	615,28	527,55	555,56	552,58	698,10	1061,26	466,25	547,39	424,37	678,20	810,78	672,68	
117	351,46	537,56	463,33	603,11	481,20	465,60	486,01	560,13	866,88	613,57	458,31	612,38	599,84	487,23	457,62	631,90	543,99	667,95	617,11	575,27	
118	262,58	546,44	632,02	562,99	529,74	514,10	234,36	583,00	562,43	612,18	353,98	523,30	552,34	328,96	609,51	560,44	612,19	652,33	529,69	508,20	
119	394,54	561,40	576,33	600,10	598,40	588,82	569,43	605,70	708,44	687,40	512,40	559,21	627,60	620,56	613,30	646,00	671,92	597,40	643,55	628,40	
