Subject	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5	C_1	C_2	C_3	C_4	C_5	D_1	D_2	D_3	D_4	D_5	E_1	E_2	E_3	E_4	E_5	F_1	F_2	F_3	F_4	F_5	G_1	G_2	G_3	G_4	G_5	H_1	H_2	H_3	H_4	H_5		
201	478,50	500,10	726,22	672,60	624,40	668,89	640,28	762,11	628,38	561,50	580,14	530,70	621,60	454,25	347,07	293,47	463,18	688,87	600,23	713,30	472,20	480,48	514,44	489,25	506,70	589,78	606,00	449,56	634,30	488,58	525,14	592,79	457,07	245,75	234,83	257,47	375,75	518,06	497,03	604,37		
203	481,83	479,53	648,83	526,60	627,78	571,70	596,50	715,67	713,33	555,23	572,41	759,60	560,73	415,68	515,50	515,60	385,30	545,93	806,75	669,91	381,43	371,60	415,99	490,67	510,10	573,10	695,33	798,11	804,20	432,01	464,21	651,61	445,90	340,57	417,30	491,86	524,79	559,05	564,39	595,51		
205	514,14	536,10	502,70	518,63	507,40	487,48	636,13	576,10	573,00	555,60	417,30	587,13	464,14	505,52	621,86	523,86	576,02	662,24	665,12	545,86	459,00	490,90	492,26	449,25	509,83	420,10	551,73	514,41	573,70	512,92	444,08	552,64	433,90	502,26	508,96	500,96	483,39	500,14	534,12	457,56		
206	522,79	500,50	490,25	465,56	537,68	529,57	511,46	559,83	583,80	542,23	541,57	608,33	631,17	526,46	581,99	520,89	460,56	662,50	710,22	629,65	577,39	467,78	406,56	385,16	527,19	494,46	495,11	498,14	516,33	466,19	517,79	480,44	543,79	526,66	521,41	537,90	465,86	556,59	504,70	557,19		
207	491,07	492,21	511,63	521,64	516,86	542,00	537,94	550,60	538,51	590,19	399,73	532,94	520,27	478,89	440,12	460,88	511,59	572,88	532,28	525,20	460,19	436,67	462,30	442,94	421,67	440,89	476,34	503,10	511,22	495,08	418,93	395,06	426,67	444,47	330,57	391,46	434,49	389,21	385,06	455,10		
208	598,40	666,09	606,99	681,06	758,22	721,60	783,99	735,94	811,47	796,20	589,83	619,40	752,59	821,73	506,44	582,37	691,60	770,99	620,90	603,63	630,06	808,99	633,39	685,69	709,33	718,11	777,49	779,61	864,92	765,70	570,73	525,79	710,70	818,40	495,66	607,11	882,00	807,37	496,28	428,83		
209	586,20	601,44	656,56	598,53	617,91	604,80	553,21	607,89	677,40	649,50	584,40	625,10	897,50	677,90	712,85	767,95	730,01	858,21	686,00	745,90	500,70	521,63	580,29	545,71	630,02	577,50	584,03	645,27	619,25	622,60	639,34	621,20	727,71	746,82	569,28	636,39	805,00	717,73	658,40	684,01		
210	563,97	644,20	622,48	653,60	783,10	613,60	649,66	757,43	755,70	692,07	561,08	849,00	866,19	920,80	764,20	630,51	810,20	970,74	916,89	796,53	600,07	744,60	674,74	490,66	580,80	507,90	535,30	540,71	643,22	600,17	634,83	807,00	778,23	960,60	637,90	721,18	875,86	923,61	719,40	532,28		
211	415,70	610,20	590,36	525,42	463,00	442,70	606,20	522,86	571,90	486,18	627,58	522,83	728,44	680,63	559,21	515,91	651,00	678,04	540,06	680,54	416,51	607,67	563,76	626,70	440,10	423,90	690,83	596,08	625,22	464,70	447,74	461,30	592,04	574,63	502,71	577,31	670,88	547,42	299,76	470,64		
212	391,30	426,20	469,73	413,43	550,11	508,00	463,62	473,51	503,30	418,60	431,58	519,40	579,80	615,07	343,49	319,49	654,17	619,79	500,50	507,60	342,70	411,70	396,73	336,62	457,22	409,60	373,62	373,70	425,53	388,37	456,98	443,40	532,80	599,24	213,86	269,99	578,79	542,65	462,70	430,18		
213	488,50	570,61	562,80	532,49	610,02	562,50	562,14	568,89	644,50	570,60	661,66	621,07	676,73	530,18	531,73	547,53	585,64	610,86	635,43	676,07	424,30	488,28	475,89	487,48	448,80	433,50	483,84	435,20	515,70	415,38	569,77	552,23	449,23	443,74	408,43	453,63	533,07	550,86	582,40	611,32		
214	449,00	625,53	545,90	726,87	705,75	742,43	621,97	551,33	659,80	529,54	601,90	653,88	758,25	603,33	480,70	451,90	649,87	752,61	736,88	747,06	473,60	630,78	526,50	571,91	501,30	575,10	649,91	525,80	646,57	696,53	654,83	628,10	715,79	600,20	326,60	472,80	562,31	727,50	847,23	697,78		
215	670,80	593,90	784,40	702,70	718,17	638,94	636,60	800,40	601,22	805,70	1009,13	940,60	874,97	606,50	412,26	434,56	610,25	920,80	1123,90	959,68	592,00	569,56	801,53	527,40	546,32	623,57	529,40	767,10	669,75	639,70	432,38	979,64	710,80	693,95	424,59	480,03	687,75	911,68	865,10	445,68		
216	390,50	521,80	507,25	582,15	569,44	569,11	645,25	587,00	629,41	529,78	531,86	566,53	549,61	529,16	283,53	274,86	588,49	499,99	603,49	588,21	354,20	518,55	510,70	442,05	532,89	571,00	429,58	528,36	495,40	432,73	590,11	622,59	573,51	618,41	265,42	333,86	628,49	477,89	540,89	506,86		
217	599,53	685,71	663,14	815,60	705,83	727,71	818,48	844,81	837,00	725,27	527,91	697,70	676,44	254,84	416,39	409,53	400,09	641,11	835,06	382,99	378,70	690,75	627,63	609,60	704,10	633,80	687,90	732,63	736,33	583,90	505,80	808,53	652,06	300,59	400,67	700,15	469,68	611,64	837,45	496,06		
218	550,90	520,02	507,10	527,58	448,93	464,00	551,72	608,40	513,80	640,60	391,52	604,00	623,60	668,42	586,38	534,53	621,62	579,10	788,18	474,92	498,22	500,60	482,94	428,08	371,20	455,27	523,94	541,50	588,60	595,20	378,17	599,84	518,90	624,74	506,33	448,93	588,02	565,30	629,30	407,52		
219	505,14	724,50	727,56	740,64	695,14	666,64	785,87	924,10	741,20	720,41	679,65	638,50	778,58	709,61	430,76	361,06	609,20	804,26	697,21	835,65	488,48	858,80	730,40	587,87	687,74	670,76	680,64	779,11	765,70	627,26	726,15	615,70	675,81	763,61	352,36	387,08	628,70	709,14	589,40	760,47		
220	452,89	603,63	541,37	547,80	588,47	598,13	526,89	603,92	621,70	540,49	588,31	620,39	615,00	632,04	523,03	463,87	591,44	616,10	575,48	618,01	489,89	532,78	466,14	545,88	504,44	444,04	502,56	521,44	531,00	512,99	558,51	520,48	590,04	494,94	312,15	369,15	575,54	590,20	519,92	613,61		
221	543,20	575,96	556,08	542,36	498,90	541,78	568,93	575,74	575,08	590,50	578,93	642,35	682,82	507,52	407,68	371,16	515,65	650,78	598,35	606,73	465,76	459,97	415,30	474,49	417,22	445,20	563,46	539,08	589,52	541,42	478,23	512,58	608,25	502,62	323,98	372,48	512,32	529,48	545,82	574,23		
222	549,50	632,20	602,80	629,65	656,30	598,30	751,91	606,80	721,10	705,73	435,30	675,23	545,36	700,28	495,10	468,90	691,18	637,66	828,04	606,93	474,84	547,60	652,44	506,83	489,50	775,80	911,36	608,70	912,33	678,53	375,80	517,00	497,11	640,18	336,46	446,68	696,40	498,36	525,50	599,30		
224	495,17	620,00	580,75	596,88	656,30	545,20	652,57	689,28	606,93	650,80	584,03	752,11	855,88	671,13	626,23	539,70	661,08	914,66	837,11	631,60	468,40	608,67	582,39	433,93	527,90	583,22	521,13	672,75	680,89	436,90	642,28	639,89	690,77	605,53	428,60	489,70	664,63	780,48	711,57	607,79		
