Subject	A_Sunday	A_Monday	A_Tuesday	A_Wednesday	A_Thursday	B_Sunday	B_Monday	B_Tuesday	B_Wednesday 	B_Thursday	C_Sunday	C_Monday	C_Tuesday	C_Wednesday 	C_Thursday	D_Sunday	D_Monday	D_Tuesday	D_Wednesday 	D_Thursday	E Sunday 	E Monday	E Tuesday	E Wednesday	E Thursday	F Sunday	F Monday	F Tuesday	F Wednesday	F Thursday	G Sunday	G Monday	G Tuesday	G Wednesday	G Thursday	H Sunday	H Monday	HTuesday	H Wednesday	H Thursday	
301	510,96	716,04	759,67	813,81	747,67	619,87	712,22	1122,00	766,51	835,68	529,10	570,73	990,21	821,72	664,59	475,77	670,61	917,21	700,13	927,08	722,89	653,34	700,00	794,51	650,67	513,27	583,22	710,20	685,29	645,43	437,32	626,50	754,04	457,33	721,03	648,68	484,83	748,32	748,63	555,86	
302	392,34	464,81	494,18	498,91	556,22	494,10	506,47	533,88	494,51	493,56	364,81	406,15	558,83	487,29	589,14	560,17	516,70	559,33	472,90	492,04	351,24	423,01	456,28	443,16	478,22	429,30	474,80	462,38	449,86	404,94	382,67	359,60	429,53	341,34	354,34	363,61	362,23	445,03	462,20	517,67	
303	641,00	600,87	668,98	679,46	691,80	647,50	773,72	1061,58	860,30	964,25	595,12	555,08	767,19	694,77	612,70	572,50	593,66	719,55	670,97	768,90	727,50	581,10	688,72	721,08	726,18	541,80	579,83	592,83	665,64	744,50	506,20	639,43	718,55	694,87	625,28	592,20	590,47	679,26	808,24	604,78	
304	519,91	674,06	780,00	601,08	815,60	548,90	536,08	1023,22	661,46	995,73	686,99	463,93	756,19	664,43	970,95	650,05	567,13	748,89	539,53	1065,89	571,41	570,76	745,33	647,08	542,10	545,32	494,86	724,33	599,06	597,21	558,75	543,67	413,19	443,23	713,09	680,76	480,63	563,97	592,23	662,08	
305	561,48	553,20	602,67	637,80	616,00	668,30	572,50	681,67	632,40	622,70	580,91	592,36	668,38	657,70	639,28	577,40	626,60	662,59	547,36	642,47	521,43	572,44	549,78	549,80	525,80	553,22	580,33	582,89	584,20	546,50	564,50	564,90	572,16	494,15	531,47	528,93	516,72	586,21	607,50	591,30	
306	570,65	622,00	761,11	657,22	716,86	631,83	665,56	745,47	775,40	739,06	648,40	655,29	848,78	777,44	898,33	514,88	635,22	749,56	635,67	786,77	550,00	599,60	536,87	564,56	681,01	547,73	642,27	601,17	711,80	615,00	483,48	530,83	570,44	580,27	490,48	573,66	675,33	594,97	693,03	598,22	
307	627,22	619,48	732,50	676,80	759,61	604,14	716,89	817,99	597,85	733,45	509,99	572,69	618,91	565,50	945,40	691,20	626,99	702,61	631,09	683,04	500,95	516,35	596,36	595,78	570,36	555,25	631,30	616,69	631,15	612,65	579,80	489,00	423,40	375,59	405,39	498,29	505,29	589,73	561,50	657,86	
308	678,23	696,30	778,40	726,04	765,60	733,00	778,77	812,30	819,01	816,06	711,73	770,31	839,42	765,20	896,47	739,81	668,90	1074,80	860,41	944,23	651,63	683,00	681,25	619,34	668,60	593,30	607,24	692,90	735,15	689,83	610,17	578,72	599,20	619,01	645,40	567,93	637,11	706,40	528,72	659,59	
309	582,60	596,70	747,96	717,38	653,59	617,40	604,68	732,71	664,90	745,44	526,63	691,68	796,04	797,18	652,83	723,04	825,28	757,39	803,79	709,88	582,80	535,90	638,73	611,90	511,70	526,92	621,08	643,58	583,83	636,33	552,43	709,28	624,59	606,46	514,63	456,13	566,28	631,81	757,01	581,33	
310	513,62	537,05	575,90	578,90	635,19	608,63	565,44	543,00	568,45	668,93	530,60	569,50	595,20	536,16	682,52	543,35	493,65	600,50	477,50	830,30	465,27	553,85	577,90	578,56	593,18	507,74	575,40	497,56	592,88	578,55	602,32	493,75	539,56	547,13	676,80	563,80	651,27	567,00	564,55	615,79	
311	567,96	652,33	659,86	610,67	664,33	560,67	514,78	660,44	676,29	619,46	525,08	723,22	653,07	577,73	642,62	458,12	482,23	575,57	762,67	527,41	527,96	613,29	596,89	535,63	637,80	507,90	533,89	578,99	563,44	499,44	457,82	407,78	561,47	644,82	494,88	484,73	748,79	730,40	585,43	523,52	
312	517,43	636,03	655,20	623,00	690,66	670,81	615,18	693,63	671,77	759,12	527,43	647,79	583,72	565,35	604,43	442,98	447,08	616,72	567,79	620,87	469,83	600,73	599,40	589,28	542,70	494,93	519,92	620,00	594,03	522,33	426,88	394,78	503,11	601,54	493,03	461,43	599,43	527,86	459,88	458,95	
313	521,22	537,12	831,91	680,12	836,63	672,11	641,72	759,77	614,82	768,43	635,82	538,74	722,40	748,70	765,84	615,58	582,30	771,09	508,45	725,72	447,92	433,29	567,80	607,37	575,20	585,37	525,83	570,42	509,52	453,12	562,56	644,00	543,72	605,22	525,70	474,21	552,92	639,52	678,72	594,60	
314	529,00	602,61	645,43	600,27	707,78	675,50	643,86	686,70	648,28	714,53	643,64	743,63	792,20	767,16	931,16	728,66	747,47	929,09	784,83	1031,24	474,70	600,80	628,10	575,74	607,90	526,56	556,86	559,60	611,60	510,80	554,56	522,41	446,64	515,56	494,04	549,64	623,23	557,98	671,91	685,66	
315	528,60	585,60	639,26	621,97	651,78	568,70	555,55	670,03	647,20	676,90	575,90	488,00	837,86	654,00	586,75	573,63	674,16	813,33	672,13	757,20	551,39	554,90	638,48	606,97	530,10	818,00	530,41	670,92	746,34	559,40	280,88	513,27	575,58	391,10	566,52	508,80	441,10	693,02	577,60	541,00	
316	529,00	561,06	623,83	552,20	543,63	530,40	513,80	703,49	662,93	685,06	508,39	646,30	671,51	618,22	649,56	527,80	601,33	732,11	737,79	630,29	552,50	572,39	577,19	515,23	587,80	469,10	457,10	525,19	522,28	581,60	553,20	536,17	494,56	481,47	518,72	452,19	567,90	495,22	637,20	520,30	
317	647,88	557,53	745,66	683,69	747,90	671,31	574,79	711,93	636,23	770,00	668,00	713,06	665,57	811,40	835,22	622,00	754,48	713,44	742,36	730,16	626,70	622,28	586,93	549,69	616,03	646,42	621,89	580,60	632,90	647,10	584,78	697,37	521,67	732,06	604,48	664,04	757,33	696,78	866,58	619,67	
318	528,00	566,38	685,36	623,16	677,23	570,83	566,01	706,90	686,30	692,88	694,64	591,30	749,98	736,62	915,10	659,26	659,42	859,80	879,78	1252,24	412,00	529,89	560,46	526,12	632,46	476,93	410,68	483,46	556,22	514,40	535,68	520,46	558,17	591,00	582,02	445,13	580,94	557,30	568,82	593,38	
