Subject	Mapping	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Stimulus
201	A	1	950	k	k	1	705	Four
201	A	2	800	h	h	1	620	Two
201	A	3	950	b	b	1	446	One
201	A	4	500	k	k	1	652	Four
201	A	5	1100	l	l	1	537	Five
201	A	6	500	h	h	1	625	Two
201	A	7	650	b	b	1	566	One
201	A	8	1100	j	j	1	980	Three
201	A	9	800	l	l	1	574	Five
201	A	10	1100	h	h	1	630	Two
201	A	11	500	b	b	1	601	One
201	A	12	650	k	k	1	692	Four
201	A	13	950	l	l	1	588	Five
201	A	14	1100	b	b	1	566	One
201	A	15	650	k	k	1	689	Four
201	A	16	950	h	h	1	865	Two
201	A	17	650	j	k	0	646	Three
201	A	18	650	l	l	1	705	Five
201	A	19	650	j	j	1	767	Three
201	A	20	950	k	k	1	607	Four
201	A	21	800	j	j	1	695	Three
201	A	22	1100	b	b	1	470	One
201	A	23	800	k	k	1	796	Four
201	A	24	950	h	h	1	600	Two
201	A	25	1100	l	l	1	606	Five
201	A	26	800	j	j	1	982	Three
201	A	27	1100	h	h	1	398	Two
201	A	28	500	j	j	1	824	Three
201	A	29	500	h	h	1	496	Two
201	A	30	500	l	l	1	640	Five
201	A	31	1100	k	k	1	814	Four
201	A	32	650	b	b	1	563	One
201	A	33	950	j	j	1	995	Three
201	A	34	800	l	l	1	656	Five
201	A	35	950	b	b	1	563	One
201	A	36	1100	k	k	1	656	Four
201	A	37	1100	j	j	1	752	Three
201	A	38	950	l	l	1	598	Five
201	A	39	500	k	k	1	832	Four
201	A	40	500	b	b	1	515	One
201	A	41	650	h	h	1	491	Two
201	A	42	800	b	b	1	555	One
201	A	43	500	l	l	1	702	Five
201	A	44	650	h	h	1	627	Two
201	A	45	800	k	k	1	848	Four
201	A	46	800	b	b	1	672	One
201	A	47	950	j	j	1	838	Three
201	A	48	800	h	h	1	603	Two
201	A	49	650	l	l	1	638	Five
201	A	50	500	j	j	1	856	Three
201	B	1	650	b	b	1	538	Five
201	B	2	650	j	j	1	2039	Three
201	B	3	800	k	j	0	701	Two
201	B	4	650	b	b	1	589	Five
201	B	5	1100	l	l	1	722	One
201	B	6	800	h	h	1	722	Four
201	B	7	800	j	j	1	733	Three
201	B	8	1100	k	k	1	698	Two
201	B	9	500	j	j	1	629	Three
201	B	10	950	h	h	1	759	Four
201	B	11	500	k	k	1	385	Two
201	B	12	500	b	b	1	637	Five
201	B	13	1100	h	h	1	653	Four
201	B	14	650	l	l	1	938	One
201	B	15	950	j	j	1	1118	Three
201	B	16	800	b	b	1	590	Five
201	B	17	950	l	l	1	655	One
201	B	18	1100	h	h	1	865	Four
201	B	19	1100	j	j	1	692	Three
201	B	20	950	b	b	1	702	Five
201	B	21	500	h	h	1	612	Four
201	B	22	500	l	l	1	614	One
201	B	23	650	k	k	1	622	Two
201	B	24	800	l	l	1	1564	One
201	B	25	500	b	b	1	505	Five
201	B	26	650	k	k	1	988	Two
201	B	27	800	h	h	1	628	Four
201	B	28	800	l	l	1	545	One
201	B	29	950	j	j	1	657	Three
201	B	30	950	h	h	1	561	Four
201	B	31	800	k	k	1	894	Two
201	B	32	1100	b	b	1	713	Five
201	B	33	500	k	k	1	447	Two
201	B	34	650	l	l	1	580	One
201	B	35	1100	k	k	1	855	Two
201	B	36	1100	j	j	1	815	Three
201	B	37	500	l	l	1	601	One
201	B	38	800	b	b	1	641	Five
201	B	39	650	h	h	1	665	Four
201	B	40	950	b	b	1	788	Five
201	B	41	1100	l	l	1	604	One
201	B	42	650	h	h	1	785	Four
201	B	43	950	k	k	1	1471	Two
201	B	44	650	j	j	1	1001	Three
201	B	45	950	l	l	1	761	One
201	B	46	500	h	h	1	825	Four
201	B	47	500	j	j	1	1068	Three
201	B	48	950	k	k	1	681	Two
201	B	49	1100	b	b	1	644	Five
201	B	50	800	j	j	1	708	Three
201	C	1	950	j	j	1	667	Three
201	C	2	800	l	l	1	584	One
201	C	3	800	h	h	1	691	Four
201	C	4	650	k	k	1	765	Two
201	C	5	500	b	b	1	651	Five
201	C	6	800	l	l	1	1755	One
201	C	7	650	k	k	1	523	Two
201	C	8	500	l	l	1	592	One
201	C	9	500	h	h	1	739	Four
201	C	10	950	b	b	1	677	Five
201	C	11	1100	j	j	1	1304	Three
201	C	12	1100	h	h	1	528	Four
201	C	13	950	l	l	1	504	One
201	C	14	800	b	b	1	563	Five
201	C	15	950	j	j	1	1011	Three
201	C	16	650	l	l	1	518	One
201	C	17	1100	h	h	1	744	Four
201	C	18	500	b	b	1	632	Five
201	C	19	500	k	k	1	691	Two
201	C	20	950	h	h	1	891	Four
201	C	21	500	j	j	1	1432	Three
201	C	22	1100	k	k	1	403	Two
