Subject	Mapping	Trial	Interval	CorrectResponse	Given response	Accuracy	RT	Stimulus
301	A	1	950	k	k	1	694	Wednesday
301	A	2	800	h	h	1	609	Monday
301	A	3	950	b	b	1	409	Sunday
301	A	4	500	k	k	1	1116	Wednesday
301	A	5	1100	l	l	1	1788	Thursday
301	A	6	500	h	h	1	1423	Monday
301	A	7	650	b	b	1	627	Sunday
301	A	8	1100	j	j	1	1135	Tuesday
301	A	9	800	l	l	1	719	Thursday
301	A	10	1100	h	h	1	776	Monday
301	A	11	500	b	b	1	480	Sunday
301	A	12	650	k	k	1	771	Wednesday
301	A	13	950	l	l	1	1115	Thursday
301	A	14	1100	b	b	1	565	Sunday
301	A	15	650	k	k	1	1688	Wednesday
301	A	16	950	h	h	1	600	Monday
301	A	17	650	j	j	1	1269	Tuesday
301	A	18	650	l	l	1	1500	Thursday
301	A	19	650	j	j	1	1043	Tuesday
301	A	20	950	k	k	1	1365	Wednesday
301	A	21	800	j	j	1	1362	Tuesday
301	A	22	1100	b	b	1	555	Sunday
301	A	23	800	k	k	1	1242	Wednesday
301	A	24	950	h	h	1	589	Monday
301	A	25	1100	l	l	1	880	Thursday
301	A	26	800	j	j	1	1099	Tuesday
301	A	27	1100	h	h	1	632	Monday
301	A	28	500	j	j	1	2147	Tuesday
301	A	29	500	h	h	1	595	Monday
301	A	30	500	l	l	1	1100	Thursday
301	A	31	1100	k	k	1	424	Wednesday
301	A	32	650	b	b	1	646	Sunday
301	A	33	950	j	j	1	1074	Tuesday
301	A	34	800	l	l	1	1514	Thursday
301	A	35	950	b	b	1	774	Sunday
301	A	36	1100	k	k	1	1651	Wednesday
301	A	37	1100	j	j	1	1074	Tuesday
301	A	38	950	l	l	1	827	Thursday
301	A	39	500	k	k	1	1077	Wednesday
301	A	40	500	b	b	1	627	Sunday
301	A	41	650	h	h	1	706	Monday
301	A	42	800	b	b	1	683	Sunday
301	A	43	500	l	k	0	1024	Thursday
301	A	44	650	h	h	1	1168	Monday
301	A	45	800	k	k	1	1089	Wednesday
301	A	46	800	b	b	1	558	Sunday
301	A	47	950	j	j	1	1440	Tuesday
301	A	48	800	h	h	1	754	Monday
301	A	49	650	l	l	1	1100	Thursday
301	A	50	500	j	j	1	1107	Tuesday
301	B	1	650	b	b	1	896	Thursday
301	B	2	650	j	j	1	1046	Tuesday
301	B	3	800	k	k	1	910	Monday
301	B	4	650	b	b	1	774	Thursday
301	B	5	1100	l	l	1	886	Sunday
301	B	6	800	h	h	1	686	Wednesday
301	B	7	800	j	j	1	1078	Tuesday
301	B	8	1100	k	k	1	616	Monday
301	B	9	500	j	j	1	1072	Tuesday
301	B	10	950	h	h	1	926	Wednesday
301	B	11	500	k	k	1	803	Monday
301	B	12	500	b	b	1	1113	Thursday
301	B	13	1100	h	h	1	755	Wednesday
301	B	14	650	l	l	1	683	Sunday
301	B	15	950	j	j	1	939	Tuesday
301	B	16	800	b	b	1	726	Thursday
301	B	17	950	l	l	1	724	Sunday
301	B	18	1100	h	h	1	854	Wednesday
301	B	19	1100	j	j	1	1438	Tuesday
301	B	20	950	b	b	1	675	Thursday
301	B	21	500	h	j	0	782	Wednesday
301	B	22	500	l	l	1	724	Sunday
301	B	23	650	k	k	1	643	Monday
301	B	24	800	l	l	1	579	Sunday
301	B	25	500	b	b	1	2491	Thursday
301	B	26	650	k	k	1	582	Monday
301	B	27	800	h	h	1	727	Wednesday
301	B	28	800	l	l	1	809	Sunday
301	B	29	950	j	j	1	2702	Tuesday
301	B	30	950	h	h	1	609	Wednesday
301	B	31	800	k	k	1	843	Monday
301	B	32	1100	b	b	1	2091	Thursday
301	B	33	500	k	k	1	1145	Monday
301	B	34	650	l	l	1	558	Sunday
301	B	35	1100	k	k	1	673	Monday
301	B	36	1100	j	j	1	3251	Tuesday
301	B	37	500	l	l	1	595	Sunday
301	B	38	800	b	b	1	995	Thursday
301	B	39	650	h	h	1	667	Wednesday
301	B	40	950	b	b	1	697	Thursday
301	B	41	1100	l	l	1	505	Sunday
301	B	42	650	h	h	1	832	Wednesday
301	B	43	950	k	k	1	577	Monday
301	B	44	650	j	j	1	974	Tuesday
301	B	45	950	l	l	1	1009	Sunday
301	B	46	500	h	h	1	662	Wednesday
301	B	47	500	j	j	1	1453	Tuesday
301	B	48	950	k	k	1	3368	Monday
301	B	49	1100	b	b	1	1221	Thursday
301	B	50	800	j	j	1	976	Tuesday
301	C	1	950	j	j	1	1392	Tuesday
301	C	2	800	l	l	1	679	Sunday
301	C	3	800	h	h	1	683	Wednesday
301	C	4	650	k	k	1	1133	Monday
301	C	5	500	b	h	0	779	Thursday
301	C	6	800	l	l	1	485	Sunday
301	C	7	650	k	k	1	768	Monday
301	C	8	500	l	k	0	566	Sunday
301	C	9	500	h	h	1	731	Wednesday
301	C	10	950	b	b	1	867	Thursday
301	C	11	1100	j	j	1	979	Tuesday
301	C	12	1100	h	h	1	691	Wednesday
301	C	13	950	l	l	1	395	Sunday
301	C	14	800	b	b	1	2424	Thursday
301	C	15	950	j	j	1	1011	Tuesday
301	C	16	650	l	l	1	700	Sunday
301	C	17	1100	h	h	1	848	Wednesday
301	C	18	500	b	b	1	2366	Thursday
301	C	19	500	k	k	1	779	Monday
301	C	20	950	h	h	1	670	Wednesday
301	C	21	500	j	j	1	984	Tuesday
301	C	22	1100	k	k	1	616	Monday
301	C	23	800	j	j	1	1130	Tuesday
301	C	24	800	h	h	1	722	Wednesday
301	C	25	1100	l	l	1	487	Sunday
301	C	26	500	j	j	1	989	Tuesday
301	C	27	650	b	b	1	901	Thursday
301	C	28	800	k	k	1	652	Monday
301	C	29	650	j	j	1	1648	Tuesday
301	C	30	650	b	b	1	618	Thursday
301	C	31	650	j	j	1	698	Tuesday
301	C	32	950	k	k	1	698	Monday
301	C	33	650	h	h	1	1930	Wednesday
301	C	34	1100	l	l	1	616	Sunday
301	C	35	950	b	b	1	1482	Thursday
301	C	36	650	h	h	1	965	Wednesday
301	C	37	800	b	j	0	1821	Thursday
301	C	38	500	l	j	0	679	Sunday
301	C	39	1100	j	j	1	720	Tuesday
301	C	40	1100	k	k	1	696	Monday
301	C	41	650	l	l	1	608	Sunday
301	C	42	500	k	k	1	693	Monday
301	C	43	1100	b	j	0	1498	Thursday
301	C	44	500	h	h	1	1610	Wednesday
301	C	45	950	l	l	1	683	Sunday
301	C	46	800	k	k	1	659	Monday
301	C	47	950	h	h	1	741	Wednesday
301	C	48	800	j	j	1	1504	Tuesday
301	C	49	1100	b	b	1	680	Thursday
301	C	50	950	k	k	1	653	Monday
301	D	1	800	j	j	1	988	Tuesday
301	D	2	1100	l	j	0	1135	Thursday
301	D	3	950	h	h	1	787	Monday
301	D	4	500	j	j	1	1274	Tuesday
301	D	5	500	k	k	1	1284	Wednesday
301	D	6	950	b	b	1	790	Sunday
301	D	7	650	j	j	1	746	Tuesday
301	D	8	950	h	h	1	612	Monday
301	D	9	650	k	k	1	785	Wednesday
301	D	10	1100	b	b	1	695	Sunday
301	D	11	950	l	j	0	1338	Thursday
301	D	12	650	k	k	1	887	Wednesday
301	D	13	800	l	l	1	879	Thursday
301	D	14	500	b	b	1	722	Sunday
301	D	15	1100	j	j	1	1255	Tuesday
301	D	16	1100	h	h	1	903	Monday
301	D	17	650	b	b	1	732	Sunday
301	D	18	500	h	h	1	578	Monday
301	D	19	1100	l	l	1	796	Thursday
301	D	20	800	h	h	1	652	Monday
301	D	21	950	k	k	1	772	Wednesday
301	D	22	950	j	j	1	1756	Tuesday
301	D	23	800	b	b	1	642	Sunday
301	D	24	800	k	k	1	810	Wednesday
301	D	25	650	h	h	1	557	Monday
301	D	26	500	l	k	0	769	Thursday
301	D	27	800	b	l	0	565	Sunday
301	D	28	650	h	k	0	615	Monday
301	D	29	500	b	b	1	623	Sunday
301	D	30	500	k	k	1	711	Wednesday
301	D	31	950	l	l	1	3341	Thursday
301	D	32	1100	j	j	1	893	Tuesday
301	D	33	1100	k	k	1	666	Wednesday
301	D	34	950	b	b	1	525	Sunday
301	D	35	800	l	l	1	1605	Thursday
301	D	36	950	j	j	1	988	Tuesday
301	D	37	650	b	b	1	732	Sunday
301	D	38	1100	k	k	1	985	Wednesday
301	D	39	500	l	l	1	1241	Thursday
301	D	40	500	h	h	1	886	Monday
301	D	41	950	k	k	1	671	Wednesday
301	D	42	500	j	j	1	673	Tuesday
301	D	43	1100	h	h	1	580	Monday
301	D	44	800	j	j	1	911	Tuesday
301	D	45	800	k	k	1	620	Wednesday
301	D	46	1100	b	b	1	916	Sunday
301	D	47	650	l	l	1	1012	Thursday
301	D	48	800	h	h	1	636	Monday
301	D	49	650	j	j	1	892	Tuesday
301	D	50	650	l	l	1	735	Thursday
301	E	1	950	j	j	1	590	Tuesday
301	E	2	800	b	b	1	635	Sunday
301	E	3	800	k	k	1	736	Wednesday
301	E	4	650	h	h	1	614	Monday
301	E	5	500	l	l	1	1054	Thursday
301	E	6	800	b	b	1	536	Sunday
301	E	7	650	h	h	1	590	Monday
301	E	8	500	b	b	1	1312	Sunday
301	E	9	500	k	k	1	915	Wednesday
301	E	10	950	l	l	1	504	Thursday
301	E	11	1100	j	j	1	984	Tuesday
301	E	12	1100	k	k	1	696	Wednesday
301	E	13	950	b	b	1	2371	Sunday
301	E	14	800	l	l	1	555	Thursday
301	E	15	950	j	j	1	568	Tuesday
301	E	16	650	b	b	1	995	Sunday
301	E	17	1100	k	k	1	1254	Wednesday
301	E	18	500	l	l	1	510	Thursday
301	E	19	500	h	h	1	920	Monday
301	E	20	950	k	k	1	744	Wednesday
301	E	21	500	j	j	1	712	Tuesday
301	E	22	1100	h	h	1	707	Monday
301	E	23	800	j	j	1	1032	Tuesday
301	E	24	800	k	k	1	526	Wednesday
301	E	25	1100	b	b	1	539	Sunday
301	E	26	500	j	j	1	643	Tuesday
301	E	27	650	l	k	0	518	Thursday
301	E	28	800	h	h	1	579	Monday
301	E	29	650	j	j	1	665	Tuesday
301	E	30	650	l	l	1	822	Thursday
301	E	31	650	j	j	1	595	Tuesday
301	E	32	950	h	h	1	521	Monday
301	E	33	650	k	k	1	755	Wednesday
301	E	34	1100	b	b	1	478	Sunday
301	E	35	950	l	l	1	587	Thursday
301	E	36	650	k	k	1	635	Wednesday
301	E	37	800	l	l	1	1081	Thursday
301	E	38	500	b	b	1	918	Sunday
301	E	39	1100	j	j	1	537	Tuesday
301	E	40	1100	h	h	1	569	Monday
301	E	41	650	b	b	1	538	Sunday
301	E	42	500	h	h	1	698	Monday
301	E	43	1100	l	l	1	610	Thursday
301	E	44	500	k	k	1	744	Wednesday
301	E	45	950	b	b	1	1018	Sunday
301	E	46	800	h	h	1	653	Monday
301	E	47	950	k	k	1	1309	Wednesday
301	E	48	800	j	j	1	674	Tuesday
301	E	49	1100	l	l	1	541	Thursday
301	E	50	950	h	h	1	704	Monday
301	F	1	950	h	h	1	517	Wednesday
301	F	2	800	k	k	1	586	Monday
301	F	3	950	l	l	1	500	Sunday
301	F	4	500	h	h	1	692	Wednesday
301	F	5	1100	b	b	1	642	Thursday
301	F	6	500	k	k	1	695	Monday
301	F	7	650	l	l	1	484	Sunday
301	F	8	1100	k	k	1	498	Monday
301	F	9	1100	j	j	1	706	Tuesday
301	F	10	500	l	l	1	482	Sunday
301	F	11	800	b	b	1	570	Thursday
301	F	12	650	h	h	1	932	Wednesday
301	F	13	950	b	b	1	748	Thursday
301	F	14	1100	l	l	1	527	Sunday
301	F	15	650	h	h	1	738	Wednesday
301	F	16	950	k	k	1	652	Monday
301	F	17	650	j	j	1	919	Tuesday
301	F	18	650	b	h	0	487	Thursday
301	F	19	650	j	j	1	578	Tuesday
301	F	20	950	h	h	1	596	Wednesday
301	F	21	800	j	j	1	722	Tuesday
301	F	22	1100	l	l	1	535	Sunday
301	F	23	800	h	h	1	634	Wednesday
301	F	24	950	k	k	1	591	Monday
301	F	25	1100	b	b	1	498	Thursday
301	F	26	800	j	j	1	789	Tuesday
301	F	27	1100	k	k	1	631	Monday
301	F	28	500	j	j	1	642	Tuesday
301	F	29	500	k	k	1	719	Monday
301	F	30	500	b	b	1	826	Thursday
301	F	31	1100	h	h	1	1058	Wednesday
301	F	32	650	l	l	1	815	Sunday
301	F	33	950	j	j	1	698	Tuesday
301	F	34	800	b	j	0	661	Thursday
301	F	35	950	l	l	1	599	Sunday
301	F	36	1100	h	h	1	802	Wednesday
301	F	37	1100	j	j	1	687	Tuesday
301	F	38	950	b	b	1	583	Thursday
301	F	39	500	h	h	1	687	Wednesday
301	F	40	500	l	l	1	533	Sunday
301	F	41	650	k	k	1	639	Monday
301	F	42	800	l	l	1	517	Sunday
301	F	43	500	b	b	1	943	Thursday
301	F	44	650	k	k	1	1045	Monday
301	F	45	800	h	h	1	589	Wednesday
301	F	46	800	l	l	1	594	Sunday
301	F	47	950	j	j	1	663	Tuesday
301	F	48	800	k	k	1	570	Monday
301	F	49	650	b	b	1	765	Thursday
301	F	50	500	j	j	1	698	Tuesday
301	G	1	650	l	l	1	577	Thursday
301	G	2	650	j	j	1	753	Tuesday
301	G	3	800	h	h	1	620	Monday
301	G	4	650	l	l	1	715	Thursday
301	G	5	1100	b	b	1	505	Sunday
301	G	6	800	k	k	1	675	Wednesday
301	G	7	800	j	j	1	697	Tuesday
301	G	8	1100	h	h	1	905	Monday
301	G	9	500	j	j	1	830	Tuesday
301	G	10	950	k	k	1	574	Wednesday
301	G	11	500	h	h	1	603	Monday
301	G	12	500	l	l	1	1377	Thursday
301	G	13	1100	k	k	1	534	Wednesday
301	G	14	650	b	h	0	1163	Sunday
301	G	15	950	j	j	1	902	Tuesday
301	G	16	800	l	l	1	791	Thursday
301	G	17	950	b	b	1	809	Sunday
301	G	18	1100	k	k	1	547	Wednesday
301	G	19	1100	j	j	1	753	Tuesday
301	G	20	950	l	l	1	657	Thursday
301	G	21	500	k	k	1	666	Wednesday
301	G	22	500	b	b	1	1217	Sunday
301	G	23	650	h	h	1	630	Monday
301	G	24	800	b	b	1	622	Sunday
301	G	25	500	l	b	0	711	Thursday
301	G	26	650	h	h	1	678	Monday
301	G	27	800	k	k	1	574	Wednesday
301	G	28	800	b	b	1	551	Sunday
301	G	29	950	j	j	1	732	Tuesday
301	G	30	950	k	k	1	668	Wednesday
301	G	31	800	h	h	1	548	Monday
301	G	32	1100	l	l	1	665	Thursday
301	G	33	500	h	h	1	843	Monday
301	G	34	650	b	b	1	974	Sunday
301	G	35	1100	h	h	1	678	Monday
301	G	36	1100	j	j	1	825	Tuesday
301	G	37	500	b	b	1	745	Sunday
301	G	38	800	l	l	1	774	Thursday
301	G	39	650	k	k	1	681	Wednesday
301	G	40	950	l	l	1	873	Thursday
301	G	41	1100	b	b	1	414	Sunday
301	G	42	650	k	k	1	481	Wednesday
301	G	43	950	h	h	1	606	Monday
301	G	44	650	j	j	1	644	Tuesday
301	G	45	950	b	b	1	358	Sunday
